#{"t_start": 1733438642.8664284, "env_id": "None"}
r,l,t
-500.0,1,49.387125
-479.856209,4,49.486944
-449.887514,12,49.776705
-491.209906,7,49.946126
509689.199568,12,50.261315
-412.406934,11,50.517675
-477.894671,12,50.829619
-468.100767,6,50.980859
-489.799875,5,51.104747
-497.820645,2,51.156048
-486.173828,3,51.233245
-379.022141,9,51.458702
-464.629289,7,51.636233
-485.077181,6,51.784081
-400.25235,6,51.932609
-500.0,1,51.958625
-49.8292,8,52.210746
-486.617331,6,52.359506
-483.622323,3,52.434485
-424.199597,10,52.674214
-473.055541,9,52.93679
-497.522823,2,52.987735
-495.423266,3,53.063312
-487.04349,4,53.167531
-498.562791,3,53.243609
-415.160586,6,53.392034
-490.417099,4,53.54229
-500.0,1,53.56798
-374.657879,8,53.760064
-464.031946,4,53.860264
-494.065726,4,53.961599
-489.414138,4,54.110328
-258.125799,12,54.386775
-385.008784,10,54.62154
-500.0,1,54.655889
-484.481706,4,54.831955
-446.979558,12,55.111035
-491.791742,4,55.212764
-489.369926,11,55.592295
-261.103171,10,55.857779
-483.425359,4,55.959722
-424.463634,8,56.201101
-479.208703,5,56.329999
-498.654543,2,56.401733
-449.423632,14,56.829837
-466.646769,7,57.003378
-487.20528,7,57.182584
-481.878842,8,57.403368
-500.0,1,57.442589
-495.53912,2,57.494475
-492.487848,10,57.749006
-369.105016,9,57.984897
-398.822172,16,58.36974
-496.246769,2,58.430323
-490.610367,7,58.65401
-482.324081,4,58.766151
-500.0,1,58.79338
-488.389062,7,58.967188
-498.755698,4,59.069803
-499.380153,3,59.148052
-499.536172,2,59.209426
-478.144558,5,59.367575
-244.519688,11,59.646182
-491.635919,2,59.700119
-429.083238,11,60.012417
-500.0,1,60.038902
-489.486738,8,60.235046
-478.445227,3,60.313162
-435.93291,9,60.56402
322.026509,17,60.998429
-494.698522,3,61.074849
-487.067173,4,61.193764
-496.803517,2,61.293755
-483.219227,4,61.396485
-495.023853,7,61.570939
-407.346602,7,61.753826
-303.459258,10,62.063953
-484.766097,8,62.25843
110.828263,7,62.431895
-359.643542,9,62.710683
-451.400406,12,63.011363
-478.211094,12,64.677009
-455.723786,8,64.888614
-407.110227,7,65.059775
-376.468767,11,65.401711
-472.761327,8,65.621254
-476.11413,7,65.803031
-488.136921,7,66.007942
-423.846948,7,66.197727
-466.921777,6,66.385624
-390.402987,5,66.53327
-499.137812,3,66.63323
-491.32452,6,66.780669
1776.704903,9,66.999687
-486.583537,3,67.091927
-224.13981,7,67.460695
-369.96863,8,67.687106
-399.134887,8,67.964845
-398.023114,9,68.382615
-498.095015,5,68.640792
-476.699639,11,68.926856
-481.065246,4,69.091908
-445.461439,6,69.371212
-499.653132,2,69.466099
-409.091964,8,69.661058
-484.810396,6,69.841218
-477.709028,7,70.015243
-452.781943,9,70.469001
-500.0,1,70.495108
-490.314735,4,70.648338
-471.416268,6,70.887043
-491.911346,3,71.015633
-273.530721,6,71.216265
-474.380319,8,71.713146
-493.384004,6,71.979091
-426.897116,6,72.218396
-496.246087,7,72.752454
-393.915241,9,73.147899
-466.820949,5,73.26916
-396.818822,8,74.032133
-410.421488,11,74.713622
-466.336612,5,75.297887
-397.201967,13,75.775843
-486.227301,3,75.85611
-500.0,1,75.900437
-479.505065,4,76.000251
-490.673065,5,76.161503
-496.466701,3,76.237262
-493.16842,2,76.286991
-499.39591,3,76.395032
-499.425782,2,76.445324
-496.443599,5,76.602847
-497.325569,3,76.70838
-484.9015,6,76.873451
-499.018864,2,76.925243
-488.002083,6,77.077979
-500.0,1,77.108365
-485.544647,8,77.39909
-499.495828,2,77.632163
-495.273267,3,77.82837
-474.41568,8,78.286957
-482.246728,10,78.934322
-317.578997,13,79.390211
-499.656077,2,79.440843
-332.025158,13,79.740153
-454.468544,16,80.772885
-475.799182,3,80.848642
-496.494366,5,81.077222
-496.263414,3,81.227992
-442.109401,7,81.410606
-440.22395,5,81.533913
-469.889921,6,81.712087
-484.870771,3,81.787835
-490.974237,3,81.916491
-124.731625,11,82.371683
-453.415359,8,82.738733
-491.899382,9,83.282409
-496.567283,4,83.419377
-499.679787,2,83.525965
-457.455805,6,83.862209
-491.706009,5,83.992584
-481.01922,2,84.043763
-467.66947,5,84.168885
-482.519542,11,84.492528
-499.118211,3,84.569241
-498.533648,3,84.645616
-231.452251,10,84.885703
-499.605263,2,84.945111
-497.839051,5,85.113622
-492.453692,2,85.164889
-354.269722,11,85.426889
-391.545302,10,85.672026
-450.817155,4,85.77852
-467.89241,9,85.999185
-403.398226,3,86.079885
-483.551215,11,86.423017
-486.938392,9,86.641055
-486.281705,7,86.815628
-499.608857,2,86.867284
-482.872437,10,87.146087
-492.596342,3,87.224911
-476.559129,7,87.412868
-497.601785,4,87.517587
-493.272456,7,87.756459
-497.720073,3,87.833984
-425.464552,14,88.157734
-97.640942,11,88.475251
-486.303544,5,88.602403
-500.0,1,88.628412
-497.280837,3,88.706015
-491.66207,3,88.78746
-377.084759,5,88.967267
-498.794322,2,89.020891
-486.66333,8,89.21821
-454.433511,4,89.319057
-494.729559,3,89.395984
-489.947962,4,89.498118
-484.865138,4,89.599386
-491.504276,7,89.772382
-499.772794,2,89.8239
-429.648422,10,90.076762
-496.048535,7,90.259617
-471.513532,5,90.386818
-500.0,1,90.414352
-484.413201,7,90.588627
-492.762541,4,90.693445
-377.013804,6,90.866249
-474.50714,5,90.996907
-490.737078,4,91.098519
-466.328419,5,91.223667
-496.445086,6,91.378449
-494.0957,3,91.482267
1400.104027,11,91.752061
-490.593125,4,91.853469
-2531.633003,8,92.056787
-457.822693,8,92.298278
-497.267919,4,92.398964
-488.614443,10,92.638839
-393.3717,9,92.882011
-496.357182,2,92.933708
-495.010449,8,93.127983
-432.809246,6,93.2765
-500.0,1,93.302476
-499.636515,2,93.354
-495.405423,3,93.434634
-500.0,1,93.46085
-473.806231,6,93.62075
-494.076694,2,93.673151
-483.502852,3,93.749757
-199.404342,12,94.031736
-427.824976,5,94.168909
-492.306966,3,94.254478
-430.823375,8,94.451975
-295.164269,9,94.66779
-454.242712,3,94.744231
-444.669035,5,95.046522
102390.041212,13,95.346962
-481.857506,5,95.48521
-459.46443,7,95.834361
-466.373311,6,96.039523
-493.216355,4,96.232455
-464.816637,5,96.391073
-448.026779,12,96.737694
-494.325209,3,96.9951
-297.993461,10,97.570552
-435.325861,5,97.691532
-495.962791,3,97.83618
-498.840549,4,98.03951
-249.455915,11,98.294409
-485.809029,9,98.504203
-363.753985,9,98.721399
-496.260853,7,98.892545
-155.632084,10,99.12601
2101.410576,5,99.249377
-500.0,1,99.274631
-450.200496,6,99.458386
-495.187526,4,99.564626
-480.52023,3,99.642955
-494.605394,6,99.788963
-378.21437,10,100.051701
-495.138694,8,100.238746
-495.369855,6,100.382369
-478.549054,5,100.50333
-432.495938,5,100.639209
-492.481117,7,100.818012
-601.918483,4,100.916574
-475.902022,10,101.15215
-1175.424457,8,101.405995
-443.192703,4,101.508478
-297.512754,8,101.701293
-464.717059,5,101.82532
-307.418084,9,102.105082
-488.662,10,102.342141
-483.199427,3,102.418991
-500.0,1,102.444432
-495.385732,4,102.543942
-482.295601,8,102.791695
-468.201915,6,102.948417
-387.587462,11,103.217903
-482.01282,5,103.4029
-496.883529,2,103.488192
-494.136426,8,103.695319
-345.625185,13,104.038748
-329.446575,9,104.256308
-397.653072,8,104.447949
-479.732399,5,104.611874
-497.31684,3,104.686935
-487.989473,8,104.879124
-401.853487,6,105.032283
80.438912,10,105.325046
-483.727952,5,105.44701
-491.543682,11,105.706131
-447.611745,13,106.052009
-485.849998,6,106.19988
-427.882267,5,106.321869
7489292.079381,3,106.399331
-440.040858,7,106.598834
-500.0,1,106.624494
-497.160412,2,106.674483
-402.341187,13,106.971646
-500.0,1,106.997318
-419.514798,12,107.305842
-494.253049,7,107.47948
-404.187794,11,107.74541
-419.632776,12,108.064851
-357.753324,13,108.35815
-408.737971,8,108.560496
-377.459791,13,109.551742
-481.879585,4,109.653052
-497.671923,4,109.759834
-438.664458,12,110.076043
-463.220268,8,110.272219
-482.113425,5,110.39585
-477.063808,8,110.612784
-425.35566,10,110.855542
-395.457022,9,111.073517
-471.303462,7,111.24839
-496.873111,2,111.33913
-499.73056,2,111.390194
-498.989041,2,111.441125
-493.19628,6,111.588553
-356.873503,8,111.788157
-493.742887,4,111.897193
-384.360658,6,112.04931
-499.361124,2,112.100037
-445.216691,8,112.294137
-489.564815,10,112.619458
-498.536166,4,112.720975
-495.462976,4,112.822178
-493.065596,6,112.979413
-428.296486,9,113.196748
-471.290327,5,113.360105
-496.803103,3,113.435357
-458.878235,14,113.750865
-490.128525,4,113.858396
-347.393481,12,114.141122
-500.0,1,114.166853
-346.232695,6,114.322746
-496.739422,2,114.37449
-487.043325,4,114.489785
-466.229946,6,114.666514
15.280484,12,114.961125
-500.0,1,114.988205
-447.047745,9,115.226831
-479.14457,6,115.390555
-402.704518,5,115.5302
-444.064236,8,115.74707
-494.362399,6,115.924907
-166.245387,10,116.176325
-490.953728,4,116.280068
-486.465081,6,116.433417
-452.850225,6,116.660469
-470.713829,5,116.786321
-490.175242,8,116.980974
-500.0,1,117.006622
-499.151125,2,117.05852
-463.668916,7,117.255031
-500.0,1,117.28078
-446.997157,9,117.495569
-492.642325,8,117.688012
-469.437267,9,117.914774
-497.866794,4,118.024272
-461.299189,9,118.23933
-497.267058,3,118.31494
-475.897384,10,118.57057
-301.127463,7,118.742868
-425.32911,8,118.938179
-386.707139,7,119.1377
-493.776719,7,119.30819
-490.700392,11,119.564071
-500.0,1,119.59246
-388.097248,11,119.865504
-476.43679,6,120.017298
-498.054032,2,120.068811
-468.475426,9,120.284114
-474.280775,13,120.617744
-491.168274,11,120.875384
-495.54494,6,121.024003
-407.81561,9,121.275837
-496.559989,3,121.35289
-498.988758,2,121.404171
-783.551298,3,121.480292
164.054998,13,121.811537
-460.701601,13,122.11729
-467.867866,15,123.096846
-477.771261,5,123.771644
-443.110844,9,125.160945
-480.432014,7,126.231084
-434.212578,9,126.703413
-361.977415,7,126.883726
-485.119234,8,127.082396
-436.851351,4,127.184393
-440.224243,14,127.543361
-485.973278,6,127.693317
-493.742864,6,127.842414
13.176136,14,128.198514
-361.90085,13,128.518015
-469.699156,7,128.694116
-429.274386,5,128.823535
-186.371451,5,128.953679
-496.040951,5,129.083412
-484.371293,10,129.373088
-496.595661,3,129.449644
-496.153101,3,129.52679
-434.866547,11,131.086656
-482.719232,7,131.281392
-496.240196,2,131.336182
-374.312934,12,131.619487
-464.521602,11,131.937136
-453.304714,7,132.112432
-466.403725,6,132.266391
-500.0,1,132.294427
-497.089363,4,132.402771
-486.55145,6,132.581876
-428.451215,6,132.733199
-484.248381,5,132.858672
-498.392094,3,132.934823
-427.674551,10,133.204473
-320.160175,7,133.375911
-492.231821,5,133.501272
-482.548743,5,133.626642
-477.931545,4,133.743896
-85.139779,10,133.980686
-434.251923,8,134.176673
-494.264798,4,134.283111
-470.676713,7,134.45917
-431.354281,4,134.560089
-495.613559,6,134.711385
-456.605146,6,134.860042
-414.04918,11,135.152267
-488.493054,9,135.372051
-481.176683,6,135.518648
-500.0,1,135.54435
-494.741081,5,135.672162
-492.76426,4,135.782093
-471.931867,9,135.996047
-460.604136,15,136.332817
-367.842793,16,136.724052
-474.300381,5,136.848291
-492.796331,3,136.924448
-490.897165,7,137.134782
-433.230525,9,137.422753
-498.497813,4,137.523298
-232.195319,12,137.859314
-487.689109,2,137.912789
-484.257746,10,138.154218
-487.035134,4,138.29337
-485.943639,8,138.511798
-473.346847,5,138.63699
-373.198168,12,138.931473
-433.467817,6,139.079907
-494.198423,6,139.234925
-365.998602,7,139.406137
-498.505184,3,139.483063
-493.583046,6,139.661664
-298.920664,5,139.786006
230.788532,5,139.91194
1909.073604,7,140.084467
25.526903,5,140.212758
-229.394331,9,140.454551
-497.452943,4,140.556313
-484.453099,6,140.704394
-499.027146,3,140.782971
-487.282464,10,141.094384
-500.0,1,141.120314
-484.885835,2,141.173743
-398.74275,9,141.390039
-187.711142,11,141.707522
-495.847902,3,141.786625
-457.165491,6,141.942771
-479.773923,5,142.073633
-500.0,1,142.101089
-454.536687,8,142.331678
-484.777661,4,142.445939
-500.0,1,142.474618
-453.645401,8,142.677182
-498.220756,4,143.191887
-379.443214,5,143.827621
-500.0,1,143.944798
-410.932819,9,145.374429
-407.155645,9,145.594622
-492.177105,7,145.772862
-404.222096,7,145.982137
-487.349045,4,146.082775
200.857456,4,146.183327
-488.514436,8,146.377626
-305.937629,10,146.682479
55.638348,13,146.982372
-355.709729,10,147.233682
-496.151685,2,147.294942
-334.606648,13,147.595248
-484.568904,6,147.74483
-497.592783,5,147.902127
-384.12876,8,148.09785
-420.71294,10,148.335798
-454.391298,5,148.462231
-495.075295,6,148.639904
-498.248918,2,148.693143
-484.005506,7,148.862449
-355.998131,4,148.962156
-499.615118,2,149.013077
-482.525875,3,149.101997
-385.05132,9,149.335463
-495.559948,2,149.386637
593.569638,7,149.559103
-487.565143,6,149.736823
-220.095963,12,150.025177
-457.107783,6,150.175485
-143.201933,12,150.472389
197.514418,13,150.772015
-481.409228,4,150.872328
-462.162482,11,151.1641
-477.937679,14,151.481154
-465.603206,9,151.712161
-467.881984,5,151.840847
-478.534257,5,151.965648
911.615519,9,152.182288
-433.950328,8,152.414428
-492.931408,6,152.561214
-483.548799,8,152.758414
-451.039968,7,152.943075
-474.425758,11,153.224859
-497.283365,2,153.276117
-432.290219,9,153.491154
-495.897431,3,153.567015
-441.993398,6,153.724398
386.462095,12,154.000054
-376.445549,5,154.12447
-482.161081,10,154.371633
-482.045837,3,154.448056
-492.289467,5,154.571977
-492.631385,3,154.647707
-492.612475,5,154.778053
-491.308599,6,154.931934
-451.673777,7,155.108408
-424.089583,9,155.32551
-161.830143,11,155.642239
-463.212965,6,155.789252
-465.326226,11,156.045282
-496.651128,3,156.123481
-485.623038,8,156.332252
-415.668069,11,156.59043
-362.795848,6,156.738856
-497.733856,5,156.877001
-499.696016,2,156.947962
-500.0,1,156.973941
-469.33031,11,157.234691
-496.473588,3,157.310491
-445.635028,5,157.444047
6438.050096,12,157.77461
-448.852508,12,158.052487
-454.621582,8,158.246665
-497.590723,5,158.371191
-434.86097,10,158.607846
-476.799507,13,158.992729
3624.866669,11,159.25578
-471.557994,5,159.383184
-500.0,1,159.410477
-496.869945,3,159.514021
-500.0,1,159.540147
-487.131111,4,159.641938
-447.675268,13,159.941901
-496.972147,3,160.019179
-408.38587,8,160.261902
-486.94637,7,160.435254
-483.448051,3,160.51352
-207.844045,7,160.692279
-487.769194,5,160.822926
-488.98324,4,160.924849
-495.004979,8,161.116403
-476.13855,4,161.217071
-468.612012,7,161.460017
-494.475358,3,161.538367
-466.616035,11,161.797531
-449.915309,6,161.946434
184.118556,15,162.312929
-478.193002,7,162.483648
-387.27903,7,162.673286
-351.94118,9,162.890951
-500.0,1,162.916718
-496.039914,4,163.018218
-491.016755,3,163.094736
-406.761163,7,163.276824
-409.616891,10,163.54771
-490.970952,4,163.646839
-484.276143,4,163.748272
-42.734976,11,164.040685
-482.533665,5,164.165145
-497.357229,5,164.292088
-435.746022,11,164.547859
-477.821733,7,164.734943
-457.435874,6,164.881087
-474.548691,10,165.115881
-306.823733,10,165.361808
11291.827782,13,165.655818
-458.173034,9,165.871156
-488.1405,3,165.947501
2160.249021,12,166.225631
-481.925623,15,166.563202
-496.279753,3,166.660336
-497.342669,5,166.786421
-477.430611,4,166.88724
-498.054586,2,166.946438
-375.280826,9,167.162228
-490.956204,4,167.263484
-482.81254,7,168.162876
-437.84073,8,169.283586
-491.193182,7,170.293415
-498.740239,2,170.588039
-497.463062,3,170.92408
3395.965352,14,172.726516
-487.237375,5,172.96916
-441.321425,3,173.054875
-472.04744,7,173.440525
-473.417263,5,173.67815
-454.55787,8,173.926074
-202.981802,10,174.32673
-454.657819,14,174.870814
-349.022774,7,175.048709
-493.273365,9,175.28231
-467.673275,6,175.432263
-498.718312,4,175.537937
-486.01144,11,175.79722
-498.369814,2,175.849144
-498.053681,2,175.908575
-479.962991,6,176.073503
-500.0,1,176.099784
-484.266049,9,176.320926
-487.123484,6,176.471765
-405.980559,8,176.670998
-470.384746,14,176.990526
-497.749105,4,177.092167
-496.603657,4,177.224134
-488.994967,6,177.384102
-500.0,1,177.409895
-496.282459,4,177.513338
-450.358459,7,177.684485
-499.060271,3,177.760574
-456.890926,6,177.939677
-491.912272,9,178.166667
-500.0,1,178.202
-489.075225,5,178.332503
-471.123133,5,178.462858
-487.051915,8,178.698319
-463.560231,5,178.82639
1035.24666,9,179.051368
-345.539535,8,179.319223
-487.440977,6,179.483696
-496.566486,2,179.536359
-288.728904,10,179.836336
-107.329621,14,180.163857
-206.3654,15,180.692945
-286.076087,13,181.130863
-495.964639,5,181.309134
-489.14077,4,181.441632
-463.42699,5,181.648253
-493.583852,6,181.840603
-500.0,1,181.970947
-482.485162,6,182.250247
-252.693783,9,182.599313
-497.720547,3,182.675929
-415.856534,7,182.889581
-481.916746,13,183.561208
-496.751552,2,183.747721
-498.392959,3,183.96489
-496.375388,2,184.020649
-489.965351,6,184.450937
-500.0,1,184.476371
-494.567257,3,184.575974
-295.734804,13,185.383611
