#{"t_start": 1733438642.8664284, "env_id": "None"}
r,l,t
-482.972011,7,214.066926
-191.784016,10,214.374506
-487.620868,9,214.599099
-424.733765,13,214.96662
-500.0,1,214.994297
-481.769952,4,215.099374
-493.686198,4,215.20681
-440.467258,10,215.471669
-479.743391,5,215.612839
-494.622714,7,215.801669
-485.598901,8,216.013381
-486.241963,6,216.295332
-230.089425,9,216.576711
-481.673126,6,216.744267
-466.502486,6,216.916369
-441.552837,7,217.14951
-147.154192,10,217.454566
-500.0,1,217.480678
-442.461059,7,217.65413
-412.144413,7,217.878039
-483.085513,6,218.074238
-475.239675,4,218.217883
-498.644627,3,218.327136
-482.115846,10,218.602635
-493.758372,4,218.704211
-220.518967,9,218.971095
-444.107684,12,219.268839
-483.680731,8,219.529046
-383.252757,12,219.815922
-61.541751,11,220.103278
-296.323337,11,220.36953
-496.574644,2,220.421519
-499.578278,2,220.473341
-495.977568,3,220.551692
-425.409525,10,220.801459
-309.239955,13,221.10211
-460.20659,5,221.229491
-486.399092,12,221.516182
-489.291306,3,221.593832
-463.230515,6,221.746041
-499.22861,2,221.799414
-463.178415,13,222.115332
-455.075581,8,222.315791
-498.613017,4,222.417915
-488.690669,5,222.545259
-472.933151,6,222.711234
-418.889404,8,222.911135
-336.393781,10,223.152828
-447.824547,10,223.414269
-474.405917,5,223.542996
-490.920516,7,223.716991
-485.530279,6,223.868206
-499.130386,2,223.920728
-495.082961,6,224.087362
101.383428,5,224.218542
-486.698858,9,224.44574
-493.926956,5,224.578427
-379.342554,7,224.760767
-493.640115,3,224.839404
436.849921,10,225.092798
-231.048201,9,225.345278
-489.66758,3,225.426025
-408.212946,5,225.558527
-496.430594,5,225.68688
-483.319942,7,225.864512
-494.960753,8,226.107643
-278.857107,6,226.257575
-461.431526,5,226.382158
-455.714227,7,226.555812
-492.296499,5,226.697072
-328.240121,10,226.935156
-495.982055,3,227.01392
-496.828613,2,227.065847
-497.513314,2,227.119151
-500.0,1,227.145784
-428.29299,7,227.341082
-499.236734,2,227.394791
-493.545215,7,227.568148
-468.260094,8,227.771532
-467.790262,6,227.937908
-493.572143,6,228.10995
-491.428516,3,228.193828
-472.069596,7,228.385507
-479.786554,5,228.526291
-500.0,1,228.553724
-483.967967,3,228.660711
-495.01611,4,228.764471
-487.286059,6,228.917887
-440.422709,8,229.115005
-378.309057,10,229.410694
-493.424467,6,229.723222
-492.37948,5,229.914694
-493.240859,6,230.187608
-390.360754,7,230.419398
-424.34702,12,230.837411
-483.205261,9,231.124624
-494.507423,2,231.176337
-381.320783,10,231.41854
-476.176507,5,231.544127
-474.019205,5,231.677036
-500.0,1,231.745741
-488.230239,4,231.847664
-494.5317,8,232.042237
-491.715552,5,232.16733
-400.535606,8,232.402458
-433.292431,5,232.527624
-498.917929,3,232.604438
-490.717212,6,232.757397
-420.576232,7,232.932292
-500.0,1,233.002927
-419.150113,9,233.219756
-488.078706,4,233.320421
-27.076691,11,233.6295
-495.526605,5,233.753621
-379.436113,10,234.000738
-358.607516,8,234.258355
-497.062306,6,234.412281
-464.593118,8,234.615209
-483.59304,7,234.791971
-467.279445,9,235.031089
-427.634195,12,235.391632
-451.184463,7,235.678953
-338.363066,15,236.419432
39.746678,13,236.720809
-500.0,1,236.748527
-498.664729,3,236.83242
-492.113269,6,236.980467
-447.473395,13,237.285824
-495.172846,3,237.363235
-496.221273,6,237.52906
-376.560734,13,237.824581
-494.474294,3,237.900321
-495.180723,4,238.002522
-104.290328,9,238.239964
-268.933303,7,238.418387
-448.854604,9,238.632984
-500.0,1,238.65874
-319.329472,5,238.816731
-497.791179,5,238.940837
-484.891071,8,239.133875
-497.674446,2,239.184847
-441.318333,8,239.37755
-418.61305,14,239.716729
-491.373207,4,239.817083
-445.883623,4,239.917616
-496.669527,5,240.063505
-499.102056,2,240.141217
-490.265439,4,240.24952
-457.128355,7,240.426991
-379.563376,11,240.698776
-315.408097,14,241.034905
-470.076361,6,241.184221
178861.888961,10,241.473252
-320.717449,12,241.751937
255.766432,7,241.923712
-317.449468,10,242.170543
-436.930684,13,242.474916
-467.792783,7,242.654878
-500.0,1,242.683453
-468.539255,12,242.985915
-495.638449,2,243.039765
-475.232417,8,243.242554
-487.675926,3,243.31951
-481.010748,10,243.577574
-494.871688,6,243.725162
-348.889001,10,243.964676
-492.288091,4,244.084852
-460.796429,5,244.239537
-498.621741,4,244.357673
-488.138024,8,244.557774
-491.590032,5,244.698837
-500.0,1,244.724734
-465.141136,8,244.921191
-497.141581,3,244.997468
-500.0,1,245.023466
-476.177234,3,245.100462
-587.325321,4,245.20258
68.864908,10,245.503429
-500.0,1,245.530311
-466.659504,9,245.746325
-415.284819,14,246.105668
-500.0,1,246.134222
-472.088185,8,246.328244
-464.780276,6,246.476856
-459.40964,6,246.643142
-493.388404,2,246.69723
-496.670716,3,246.799059
-465.414876,8,246.993843
-490.293075,3,247.070343
-389.976171,8,247.288218
-499.379042,2,247.373779
-394.918062,13,247.687683
-393.123596,7,247.860174
-497.693111,3,247.942254
-489.605497,9,248.196784
-73.671942,10,248.443153
-428.694794,8,248.720612
-500.0,1,248.746432
-356.765064,11,249.004776
83891.739239,10,249.260885
-500.0,1,249.286678
-495.706563,5,249.412003
-396.764275,8,249.605126
-457.213832,8,249.806334
-446.983028,9,250.024754
-369.197376,8,251.299351
-437.001161,8,251.492901
-488.444105,8,251.691045
-483.351455,8,251.892988
-476.722528,6,252.04071
174.979631,7,252.212667
-495.948373,5,252.336889
-487.634166,6,252.505231
-495.387699,6,252.655793
-493.572731,9,252.87571
-473.03708,5,253.000659
-276.764469,13,253.313216
-370.383596,8,253.513434
-410.022623,7,253.683676
-414.889025,6,253.875545
-484.682418,10,254.112106
-490.598275,3,254.187991
-489.36049,7,254.358722
-301.128855,16,254.769455
-466.853533,11,255.02794
-320.122948,11,255.313142
-491.825068,7,255.492684
-386.121904,10,255.754397
-499.269474,2,255.80618
-318.940243,12,256.09448
596.733177,12,256.391153
-427.41666,8,256.595119
-499.459894,3,256.674469
-499.108437,3,256.761911
-403.129382,7,256.943191
-499.452756,2,256.995911
-446.467292,7,257.206648
-496.572663,3,257.284003
-484.073961,9,257.501085
-480.888033,7,257.675448
7888.845943,13,258.003575
-495.258205,4,258.105032
-491.614852,7,258.279675
-493.808508,7,258.495717
-496.281035,2,258.558964
-477.445529,6,258.707954
-500.0,1,258.735238
-498.111467,4,258.838603
-496.564363,4,258.939826
-491.834235,7,259.15363
-401.395933,7,259.332542
-493.021447,2,259.384111
-496.404453,3,259.460267
-416.158784,12,259.787055
-492.473561,6,259.936447
-425.469952,6,260.084432
-486.553563,6,260.232678
-487.070056,5,260.358023
21.455808,10,260.620027
-386.074617,7,260.792851
-126.415591,12,261.120881
-469.693513,8,261.317201
-482.716128,4,261.417522
-489.432644,3,261.494401
-459.174822,5,261.625212
-500.0,1,261.706759
-463.57591,7,261.877295
-196.939901,8,262.074401
-388.137473,5,262.200935
-481.582674,7,262.378158
-480.930536,8,262.574973
-495.592744,2,262.62629
-467.086502,7,262.798635
-497.983354,5,263.043608
-438.947508,6,263.274891
-443.301972,9,263.591248
-470.980999,4,263.699781
-479.636027,4,263.83175
-497.759737,3,263.948033
-493.883567,7,264.120216
-490.58098,2,264.328644
-481.168287,3,264.405155
-372.1463,6,264.812647
-500.0,1,264.838673
-260.762734,8,265.039103
-1515.893889,6,265.187759
-482.131117,4,265.289903
-231.175348,13,265.887319
-450.355141,8,266.187347
-482.303894,3,266.325484
-336.146158,4,266.503972
-451.962576,9,267.011278
-494.583096,5,267.205124
-492.656238,8,267.4924
-497.832331,2,267.567312
-463.94152,13,268.030321
-494.740515,5,268.212193
3139.864445,6,268.428373
-174.518337,11,268.831977
-452.589439,6,269.026366
-455.591522,5,269.193594
-497.03056,6,269.371572
-497.786907,2,269.432034
-499.04843,3,269.524334
-488.480385,4,269.643756
-491.341959,3,269.74058
-394.158436,11,270.021451
-499.399511,2,270.073562
-497.461259,4,270.177875
-406.165993,9,270.401477
-373.002487,8,270.632285
-484.959373,4,270.735386
-212.005933,13,271.04832
-320.949888,11,271.344663
-480.761178,5,271.472839
-497.380881,4,271.574938
-489.762595,8,271.813643
-500.0,1,271.840587
-317.290885,12,272.125194
-499.607211,2,272.17759
-479.285737,6,272.336749
-464.54162,10,272.578959
-461.189443,11,272.908105
-477.188698,10,273.211746
-488.151837,9,273.425644
-453.078843,9,273.759892
-459.611223,6,273.92638
-495.405042,5,274.061453
-490.04355,8,274.280959
-87.298032,9,274.512683
-402.458319,12,274.793122
-484.523083,13,275.164956
-486.704977,12,275.587291
-495.361047,6,275.744845
-357.024111,8,276.031354
-496.724047,4,276.152468
-499.540721,2,276.204548
-169.269112,10,276.525563
-499.586336,2,276.607299
-478.223113,3,276.689963
-390.72363,11,277.059618
-415.546035,7,277.305075
-467.393507,7,277.535071
1469.487854,9,277.770584
-487.654932,6,277.92373
-360.534868,12,278.231233
-473.175116,4,278.352508
-447.760252,11,278.628943
-314.859463,8,278.852555
-471.535109,5,278.996182
-500.0,1,279.034585
-424.977522,8,279.245734
-498.910659,2,279.300634
249.337068,11,279.586798
-384.420315,8,279.800406
-495.714531,3,279.878893
-499.644098,2,279.933451
-121.682325,11,280.201378
1084.784372,11,280.507096
-496.516326,2,280.561001
-477.649948,11,280.834658
-431.096132,13,281.19501
-482.421601,8,281.401959
-483.592706,11,281.698795
-406.466784,13,282.009191
-471.093178,2,282.06298
-496.466901,6,282.242199
-399.276959,8,282.446123
-496.081386,2,282.499767
-282.577805,8,282.700753
-465.161023,10,282.972009
-445.062526,10,283.223874
-483.79138,5,283.360913
-338.263296,9,283.612015
-500.0,1,283.640218
-497.984951,2,283.695387
-477.411889,11,284.005534
-251.631347,11,284.307333
-402.130249,11,284.567376
-476.343634,8,284.762796
-475.083915,4,284.86516
-490.742877,6,285.035945
-234.224836,13,285.338314
-482.521805,6,285.489071
216.066316,8,285.707795
-490.13583,11,285.974366
-417.31493,8,286.177127
-487.134889,3,286.278105
-492.159962,5,286.411968
-484.338844,10,286.659782
-490.933446,5,286.78766
8.202376,9,287.063684
480.680268,14,287.394835
-497.626118,2,287.446613
-482.918979,4,287.552526
-358.981215,7,287.74638
-437.727677,8,287.943245
-490.051355,3,288.021631
-480.379296,7,288.205284
-490.964278,5,288.352564
-458.295173,4,288.454458
-173.807331,7,288.628666
-493.927487,7,288.804206
-475.124086,5,288.959695
-498.847472,3,289.036294
-456.967573,9,289.253222
-479.568855,5,289.38198
-457.188192,5,289.512758
-500.0,1,289.538852
-500.0,1,289.574231
-500.0,1,289.604859
-493.757593,7,289.778954
-66.947703,8,289.974991
-483.841287,5,290.102
-499.099507,3,290.180848
-497.271456,5,290.345251
-497.282812,4,290.446944
-480.888066,11,290.706974
-455.050812,6,290.85586
-496.853932,4,290.980885
-495.971518,3,291.059153
-485.432016,5,291.184041
-494.776752,8,291.378176
-310.285682,8,291.620929
-369.119476,9,291.840873
-493.304118,6,291.992514
-380.914464,11,292.307105
-374.04587,4,292.4087
-498.529752,4,292.511883
-499.123231,2,292.564267
-485.988329,4,292.666298
-387.66834,10,292.912106
-500.0,1,292.946269
-476.831987,4,293.048887
-478.480212,3,293.125771
-498.751552,3,293.204204
-425.872247,10,293.45478
-340.503746,10,293.738341
-500.0,1,293.764277
69727.914859,9,293.980983
-492.755643,6,294.168092
-266.161631,7,294.341596
-473.746109,12,294.624026
-395.701491,7,295.014837
-410.466054,8,295.328952
-492.2551,7,295.568508
-485.281685,7,295.876823
-490.758204,4,296.095152
-309.785718,4,296.222739
-447.928559,5,296.540182
-483.41656,10,296.977745
-488.084829,9,297.407117
-496.242533,6,297.599328
-498.305832,3,297.81991
-493.209271,5,298.192486
-258.845694,12,298.809645
-473.726235,4,298.911314
-348.842392,12,299.265982
-495.634287,7,299.564468
-444.641892,6,299.826739
-396.078898,10,300.470248
-456.686672,10,301.997169
-488.159297,7,303.699194
-449.212209,7,305.347061
-496.290695,7,307.150815
-213.946418,13,307.768268
-414.98095,14,308.512754
-369.992597,7,308.814416
-451.792371,5,308.973396
-496.34228,3,309.073604
-486.466651,7,309.245894
-478.014766,10,309.721973
-497.919181,4,309.826704
-432.36621,8,310.3509
-492.276232,6,310.607329
-484.93719,10,310.942881
-399.580519,11,311.218707
-446.674202,10,311.704617
-447.776176,8,311.968139
-471.626542,9,312.260687
-438.267659,6,312.423795
-484.277447,11,312.962732
-491.479696,4,313.064595
-491.33313,5,313.259676
-494.073023,3,313.336172
-480.25887,5,313.497283
-494.073884,5,313.65228
-500.0,1,313.678247
-499.627831,2,313.770224
2690441.331859,6,313.957516
-496.467863,5,314.144844
-459.425931,11,314.650749
-462.527746,8,315.079846
-492.101458,4,315.185236
-371.071933,13,315.679796
-476.134583,9,316.005536
-438.485575,10,316.243361
-487.857079,2,316.295229
-429.408064,7,316.782984
-488.183208,5,317.077292
-491.925572,7,317.333447
-479.177842,10,317.577546
-462.558067,6,317.744023
-443.030005,7,317.983581
-495.658445,6,318.138486
-440.894663,3,318.22025
-474.423278,9,318.492321
-425.048683,11,318.785816
-489.714357,4,318.890251
-484.221183,8,319.092231
-490.968703,6,319.269665
-369.213192,9,320.640573
-498.918919,4,320.743057
-395.861438,8,320.937451
-388.320217,10,321.257751
-497.910087,3,321.334547
-498.541273,2,321.386098
-498.095255,5,321.512754
-479.190927,8,321.720829
-477.709492,10,321.96755
-425.707673,7,322.188149
-494.761245,6,322.399302
-436.639402,6,322.554878
-476.715384,7,322.737234
-436.635359,6,322.894948
-441.816269,6,323.095221
-323.590864,5,323.22053
-496.386848,7,323.394071
-450.548052,6,323.542032
-406.589303,5,323.681771
-496.908892,5,323.806147
-488.390125,3,323.884006
-491.795097,5,324.008842
-391.957236,13,324.374787
-472.459752,4,324.477212
-500.0,1,324.503224
-496.511854,6,324.65174
-431.362709,6,324.799383
-484.657688,5,324.97626
-492.7844,7,325.147529
-319.158318,11,325.404914
-498.568043,4,325.505183
-468.113211,10,325.773592
-498.62372,2,325.824806
-275.054221,9,326.042667
-489.240632,2,326.106931
-31.505529,11,326.394968
-476.868343,3,326.472172
-499.330035,3,326.548653
-457.195403,7,326.719071
-468.674978,5,326.8623
-498.588106,3,326.944599
-486.883541,5,327.068948
-476.047392,9,327.285142
-495.108292,5,327.412785
-402.662185,8,327.65447
-486.283803,9,327.871444
-485.534324,6,328.03389
-429.144899,8,328.280629
-493.683743,8,328.665372
-479.058761,4,328.773642
-500.0,1,328.87234
-476.074487,11,329.215347
-483.36976,5,329.537084
-455.035857,3,329.708911
-453.46126,7,329.921565
-457.46232,11,330.213723
-493.343674,3,330.294419
-471.718784,4,330.587916
-317.724227,6,330.776321
-493.500224,2,330.827655
-493.454978,4,330.960903
-360.024617,8,331.210903
-428.835391,11,331.716067
334.529453,11,332.174042
-495.085407,6,332.324622
-396.051313,5,332.448739
-488.809958,7,332.664331
-465.877149,7,332.83579
-497.573322,5,332.961782
-484.776991,6,333.119251
-500.0,1,333.166298
-499.234202,2,333.230072
-492.141045,3,333.306337
-487.60525,5,333.43318
-499.420325,2,333.484624
-498.82569,2,333.53617
-491.997403,3,333.613505
-492.996743,6,333.761556
2569.369349,18,334.170832
-496.657884,5,334.297426
96039.572963,10,334.568251
-480.329405,10,334.813702
-454.61114,6,334.960315
-488.455264,6,335.108642
-299.500876,8,335.340817
-492.55811,6,335.501094
-497.305461,3,335.579808
106.57504,9,335.823546
-479.486284,3,335.905794
-476.348014,6,336.056925
-497.503724,2,336.108341
-451.440686,6,336.264988
-489.520366,10,336.520255
-499.651998,2,336.573905
-432.047283,7,336.745218
-469.676651,5,336.873264
-459.822421,8,337.066678
-489.69342,4,337.204751
-496.758741,5,337.337071
-479.510295,13,337.635902
-344.444237,6,337.784737
-486.301055,5,337.956025
-104.057922,7,338.128381
-474.288475,5,338.262953
-474.162205,7,338.444231
-485.044067,10,338.682822
-464.033678,8,338.878556
-377.635504,12,339.155802
-299.873872,7,339.333137
-496.028955,5,339.457775
-456.406567,10,339.698154
-485.267806,7,339.892908
-488.002405,9,340.147686
-498.751773,2,340.207359
-436.796973,10,340.447284
-71.548991,7,340.680632
-493.368768,3,340.758199
-466.196491,6,340.906324
-498.657766,2,340.959383
-495.622569,7,341.131754
-469.440332,11,341.418935
-367.428286,2,341.470526
324.925104,11,341.728051
-471.385676,6,341.905411
-500.0,1,341.952579
-444.357839,9,342.225574
-472.260357,8,342.445764
-362.40518,5,342.62414
-491.039806,8,342.822931
-490.019696,2,342.874804
-479.66674,4,342.996483
-482.32077,4,343.104769
-493.66162,4,343.208409
-486.323731,4,343.332979
-489.548635,3,343.440559
-492.436888,3,343.528837
-478.555592,13,343.873162
6948302.223541,7,344.108045
-444.923513,3,344.184908
-296.031593,13,344.904153
-498.852859,2,344.965847
-469.922181,3,345.044456
-463.514068,9,345.295055
-479.914177,10,345.552663
-471.652607,6,345.723756
-318.142989,13,346.044897
-452.006601,4,346.144449
-481.435034,9,346.360355
-346.800271,11,346.642787
-492.475815,9,346.926411
-495.845743,7,347.104909
-344.235178,7,347.340423
-468.405979,4,347.44717
-488.923036,7,347.619799
-497.274159,2,347.674218
-487.943758,4,347.777446
-391.375427,8,347.997837
-463.917487,9,348.243736
-460.048852,9,348.466674
-498.693799,3,348.559997
-499.228711,2,348.615813
-496.07266,2,348.668374
-484.984737,6,348.821458
-469.757823,5,348.949111
-398.433166,4,349.049966
-499.667749,2,349.112337
-495.91827,4,349.372297
-492.540658,4,349.504537
-497.908176,4,349.628586
6144.883325,11,350.169226
-342.615624,9,350.420302
-458.536971,9,350.671532
-497.982962,5,350.799135
-449.25471,3,350.879974
-500.0,1,350.906326
-487.224313,5,351.04432
-461.34142,6,351.213479
-466.55234,10,351.454318
-290.334435,6,351.605303
-465.033032,6,351.8091
-496.71461,2,351.860715
-467.27952,9,352.080178
-461.974026,4,352.183244
-456.892024,7,352.369474
-480.001582,11,352.633538
-421.831443,11,352.896528
-482.856633,4,352.999063
-230.61277,12,353.313167
-500.0,1,353.339293
-450.572979,6,353.487672
-496.55332,4,353.589566
43.659013,4,353.699757
-440.706736,7,353.90408
-367.047428,11,354.162757
-453.566708,7,354.336249
-316.164255,13,354.67444
-499.017351,3,354.754872
-493.384741,4,354.85823
-342.545463,10,355.148002
-269.270739,11,355.407144
-497.267301,4,355.509033
-148.720973,11,355.77904
375.264398,10,356.025267
-399.51228,9,356.254581
-500.0,1,356.304047
-484.232267,10,356.543926
-498.070751,2,356.595606
-465.478604,9,356.814977
-386.096215,9,357.072315
-483.18052,12,357.364211
-430.664619,8,357.558145
-491.344016,4,357.687084
-488.415055,6,357.837078
-497.432687,6,357.999302
-498.789096,3,358.078709
-415.650321,8,358.296005
-477.157608,6,358.448294
-443.220514,5,358.574228
-492.331347,4,358.677332
-436.108117,8,358.882139
-468.797724,11,359.171813
-410.728324,7,359.345775
-478.328955,7,359.519325
-399.377863,7,359.866373
-403.126826,12,360.274968
-473.833016,2,360.353228
-493.637796,7,360.679514
-451.529215,6,360.957592
-461.588079,6,361.194167
-478.838601,9,361.532968
-496.652506,2,361.654193
-454.747475,6,362.008124
-404.043437,11,362.608847
-413.486275,7,362.861336
-466.339336,11,363.193392
-497.883579,4,363.332225
-480.998385,6,363.546919
-456.6304,14,363.903281
-421.462332,13,364.25024
-500.0,1,364.277687
-490.612182,9,364.518117
-387.948124,4,364.630913
-500.0,1,364.661748
-487.455343,5,364.824801
-485.071894,3,364.906911
-496.099496,5,365.041937
-369.855842,11,365.320943
-447.883077,7,365.533593
-6.875885,10,365.793125
-497.727054,4,365.904717
-492.959891,10,366.180824
-339.566332,9,366.411798
-478.79995,9,366.648823
-500.0,1,366.676367
-493.469496,3,366.775541
-488.561505,7,366.977839
-456.285702,8,367.18953
-487.368516,7,367.377681
-497.892651,4,367.537367
-418.161698,7,367.722948
-499.746798,2,367.779957
-498.040405,4,367.893985
-450.684832,11,368.195504
-487.644625,8,368.402801
-469.146271,4,368.510875
-417.836534,7,368.704172
-497.523226,6,368.892757
-172.676965,11,369.20595
-491.984058,3,369.291281
480.707796,13,369.624668
-492.205638,6,369.788305
-317.192458,8,370.000042
-457.497159,6,370.177848
-451.203418,5,370.314441
-488.520802,7,370.501022
-410.714864,6,370.670349
-493.899038,6,370.834466
-420.687174,9,371.070876
-805.522311,9,371.331198
-499.710559,2,371.441558
-488.768531,5,371.594074
-479.973227,4,371.717683
-480.108407,6,371.892172
1619.755017,6,372.084449
-494.220607,3,372.173678
-457.483838,8,372.395392
-494.353849,5,372.530002
-418.643524,14,372.921639
-463.092954,10,373.184832
-495.289489,6,373.356911
6604.033075,7,373.545828
-490.861646,4,373.654992
399545.866333,13,373.985531
-492.690602,8,374.216013
-338.643741,11,374.506187
-84.489204,11,374.813897
-494.841289,3,374.896842
-500.0,1,374.925875
-473.663637,7,375.113945
-495.244247,4,375.225208
-422.870717,5,375.413447
-482.380102,5,375.548907
-499.39347,2,375.601879
-473.071787,5,375.726477
-494.078248,5,375.853523
-490.071269,5,376.062135
-492.22497,6,376.227892
-462.439388,9,376.453817
-394.870974,9,376.682684
-467.124236,10,376.931943
-497.024321,2,376.983202
-497.320021,4,377.083947
-454.724867,13,377.486832
-303.335091,13,377.783731
-493.58635,3,377.859246
-276.381025,8,378.103306
-498.762271,3,378.179637
-410.098955,5,378.30595
-376.655392,10,378.543645
-383.082194,9,379.829137
-493.849823,6,379.987374
-484.601878,13,380.339278
-482.034148,12,380.654422
-491.745604,4,380.76324
-440.5298,4,380.865522
-497.388856,5,380.996729
-438.45118,10,381.234942
-486.28296,6,381.413314
-475.049805,4,381.514072
-493.059241,3,381.592046
-531.520679,3,381.668816
-457.22124,6,381.817009
-494.339928,2,381.868375
-465.999372,5,382.212745
-330.664438,9,383.226001
-496.961545,5,383.526396
-383.082132,13,384.522927
-474.449203,7,385.07004
-485.556748,9,385.650717
-479.349938,12,386.090572
-328.652197,7,386.323536
-466.101355,4,386.501672
-460.462947,5,386.654798
-483.940102,6,386.836109
-452.860081,10,387.161483
-416.895698,6,387.343068
-472.254609,5,387.473452
-485.172065,4,387.583029
-482.686989,5,387.777341
-494.613551,6,387.939317
-453.432454,15,388.353262
-444.432066,8,388.580901
-490.66514,7,388.780956
-46840.636995,9,389.036912
-494.508158,7,389.23509
-490.929223,4,389.352121
29.196536,12,389.736736
-495.894623,6,389.90864
-489.171354,5,390.054939
-431.013675,3,390.146019
-463.95038,8,390.407356
-482.942949,7,390.609095
-493.408009,6,390.786837
-458.225757,7,391.007158
-466.846861,4,391.133498
-493.64363,2,391.194594
-400.208601,11,391.524624
-440.246596,6,391.713338
-486.724651,7,391.91317
-492.764558,6,392.092489
-473.299954,6,392.297634
-496.517419,6,392.469924
-492.022775,4,392.588861
-498.680432,3,392.682482
4.805129,10,393.011203
-476.291511,10,393.304083
-489.368061,7,393.560835
-494.881103,5,393.714962
-493.36723,3,393.80545
-496.918165,6,393.988244
-499.370275,2,394.051172
-497.926563,5,394.223525
-339.412793,13,394.573327
-456.659312,3,394.670461
-472.08644,5,394.826335
-155.018281,10,395.112487
3806.368579,10,395.402691
-493.15024,7,395.591259
-456.989137,10,395.838491
-343.501529,16,396.242815
-486.335429,4,396.346843
-475.110074,10,396.590578
-490.756131,8,396.819377
-307.250944,11,397.07342
-450.165443,10,397.311547
78.161673,6,397.497862
-470.959345,6,397.646678
-496.870874,6,397.795586
-422.399093,10,398.035495
-497.269225,3,398.122428
-21.993243,10,398.367172
-459.042326,5,398.492527
-475.271402,2,398.543635
-364.98051,7,398.724028
-409.635963,7,398.90524
-492.700618,8,399.10416
-472.843071,14,399.492955
-485.017228,4,399.622293
-476.353372,4,399.733687
-423.055675,6,399.89251
-465.859877,2,399.948119
-434.321792,5,400.082962
-401.165453,12,400.42096
-495.772553,5,400.553371
-472.144932,4,400.663033
-404.925839,7,400.902185
-341.36224,10,401.141198
-258.127324,9,401.372961
-297.694408,11,401.664051
-458.925137,6,401.832003
-229.910539,9,402.067141
-411.48313,17,402.502403
892.232151,17,402.900994
-493.899617,4,403.002921
-497.301866,3,403.082313
-486.111895,4,403.185152
-467.290592,5,403.314767
32.543961,12,403.676892
554.273577,7,403.927512
-84.063351,12,404.329269
-496.809598,5,404.531769
-491.97287,8,404.749768
-452.06192,7,404.95328
-460.551411,9,405.233238
-354.685826,11,405.512386
-499.526604,2,405.563303
-496.021668,4,405.663861
-414.111508,10,405.9047
-449.905185,5,406.145922
-490.081217,7,406.313879
-492.456695,6,406.458883
-500.0,1,406.484341
-497.788409,3,406.560928
-481.614974,3,406.638595
-60.592786,11,406.947814
-499.155649,2,406.999767
-367.627141,7,407.173664
-451.033719,7,407.440883
-147.017494,5,407.572664
-500.0,1,407.600764
-471.550381,6,407.752189
-494.941996,3,407.841353
-463.836133,9,408.127669
169.358221,9,408.357154
-496.518301,2,408.408518
-500.0,1,408.433969
-494.221141,2,408.485564
-495.760274,3,408.56393
-466.101867,5,408.748331
-494.233643,8,408.941534
-493.511407,8,409.134055
-490.321044,5,409.275614
-475.561606,4,409.463091
-499.654456,2,409.521024
-449.169653,9,409.753398
-498.485752,2,409.843224
-499.675697,2,409.925071
-179.455642,14,410.363315
-380.838759,10,410.610327
-467.214964,5,410.773375
-445.809477,7,410.950604
-430.193704,16,411.401623
-329.927708,11,411.701928
-490.558403,8,411.906214
-498.392786,3,411.984622
-489.665755,5,412.161847
-498.621551,3,412.23644
-435.890932,10,412.483418
-496.379501,3,412.558363
-492.207311,4,412.65695
-429.72597,6,412.807493
-317.045857,6,412.955589
-465.376565,5,413.080585
-402.186591,9,413.295408
-484.37585,3,413.416026
-498.572826,3,413.494039
-442.287718,7,413.665803
-477.936009,6,413.815065
-475.967715,4,413.921493
-500.0,1,413.947684
-493.887101,4,414.112219
-423.172943,12,414.398413
-499.57581,2,414.450224
-309.969335,14,414.810444
-485.981118,9,415.034001
-495.968067,3,415.11268
-464.479955,6,415.265042
-412.811244,8,415.511192
-484.79691,8,415.705369
-411.322132,8,415.980882
-492.281494,3,416.059938
-373.063059,5,416.189794
-375.687365,7,416.365632
-458.716852,3,416.445508
-491.411035,10,416.718013
-429.085582,10,416.96339
-497.080666,2,417.016841
-500.0,1,417.044127
-482.042166,6,417.21102
-403.377088,12,417.516746
-500.0,1,417.543983
-484.966529,4,417.648196
-464.012438,5,417.779002
-481.767199,10,418.046856
-497.477712,3,418.126245
-483.666422,12,418.418921
-374.034169,10,418.696476
-496.085826,6,418.847999
-484.721418,7,419.044766
-466.583688,5,419.175214
-462.79096,15,419.525613
-446.147927,5,419.653567
-437.822068,4,419.757529
-453.415772,5,419.898833
-500.0,1,419.924533
-461.2137,8,420.12139
-419.606724,10,420.356589
-500.0,1,420.38167
-470.998777,4,420.483273
-492.744464,3,420.56691
-485.883859,4,420.671601
-448.072948,10,420.917771
-347.940332,14,421.322382
-448.080114,6,421.472378
-486.438471,5,421.609563
-377.739509,9,421.896362
-457.730313,8,422.107991
-498.522745,2,422.162126
-500.0,1,422.188624
-500.0,1,422.215128
1083.731953,5,422.34587
199.11789,10,422.624017
-459.224593,5,422.752117
-494.997984,4,422.855273
-490.074809,2,422.909872
-498.234145,3,422.988789
-497.031493,4,423.103523
-492.180388,8,423.379063
-495.996387,6,423.529106
-398.88424,7,423.703241
-476.927647,4,423.810959
-487.22232,4,423.940905
-471.711557,5,424.072541
-459.407333,10,424.334454
-495.656474,5,424.616027
-411.187906,9,425.10641
-457.460347,3,425.329725
-475.576941,6,425.728216
-477.773556,9,426.157042
-449.997322,7,426.41482
-479.735738,4,426.680823
-430.919224,9,426.95354
-493.708684,9,427.302268
-420.695905,6,427.621437
-378.200778,4,427.800169
-443.638565,7,428.000257
-480.748723,13,428.438324
-487.722714,4,428.565729
